# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Sat Nov 15 21:20:15 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.011816 -0.10000 8.17609 1.0923312902 2.4903804427    1.092  0.112  3.7910  4.480    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.76e-14      0.00 7.199e-01 2.682e-01 2.113e-03 5.771e-04 5.241e-03 -1.000 1.194e-02 4.490 5.826 4.729 4.375 4.308 4.324
0.011816 -0.10000 8.17609 1.1412357092 2.4983257848    1.140  0.204  3.8010  4.447    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.94e-14      0.00 7.204e-01 2.678e-01 2.111e-03 5.765e-04 5.237e-03 -1.000 1.188e-02 4.261 5.515 4.467 4.154 4.103 4.130
0.011816 -0.10000 8.17609 1.1901402473 2.5055249370    1.189  0.292  3.8107  4.416    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-13      0.00 7.203e-01 2.678e-01 2.112e-03 5.768e-04 5.239e-03 -1.000 1.190e-02 4.040 5.231 4.217 3.943 3.907 3.944
0.011816 -0.10000 8.17609 1.2362182140 2.5117121316    1.236  0.371  3.8197  4.389    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-13      0.00 7.204e-01 2.677e-01 2.111e-03 5.766e-04 5.238e-03 -1.000 1.189e-02 3.842 4.993 3.993 3.752 3.731 3.778
0.011816 -0.10000 8.17609 1.2390446663 2.5120744681    1.239  0.376  3.8202  4.388    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-13      0.00 7.204e-01 2.677e-01 2.111e-03 5.766e-04 5.238e-03 -1.000 1.189e-02 3.830 4.979 3.980 3.741 3.720 3.768
0.011816 -0.10000 8.17609 1.2879490852 2.5180553198    1.288  0.455  3.8295  4.362    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-13      0.00 7.204e-01 2.677e-01 2.111e-03 5.766e-04 5.238e-03 -1.000 1.190e-02 3.632 4.748 3.756 3.549 3.543 3.601
0.011816 -0.10000 8.17609 1.3368537426 2.5235357836    1.337  0.531  3.8392  4.342    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-13      0.00 7.204e-01 2.677e-01 2.111e-03 5.767e-04 5.239e-03 -1.000 1.190e-02 3.443 4.537 3.542 3.370 3.379 3.448
0.011816 -0.10000 8.17609 1.3857581615 2.5285737691    1.386  0.603  3.8497  4.328    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-13      0.00 7.205e-01 2.676e-01 2.111e-03 5.765e-04 5.237e-03 -1.000 1.186e-02 3.264 4.337 3.337 3.200 3.227 3.307
0.011816 -0.10000 8.17609 1.4346626997 2.5332188264    1.435  0.669  3.8616  4.324    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-13      0.00 7.206e-01 2.675e-01 2.111e-03 5.764e-04 5.236e-03 -1.000 1.191e-02 3.097 4.154 3.143 3.045 3.092 3.184
0.011816 -0.10000 8.17609 1.4835669994 2.5375134518    1.483  0.735  3.8751  4.326    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-13      0.00 7.207e-01 2.675e-01 2.110e-03 5.763e-04 5.235e-03 -1.000 1.188e-02 2.932 3.979 2.951 2.896 2.967 3.073
0.011816 -0.10000 8.17609 1.5324714184 2.5414943997    1.532  0.798  3.8888  4.333    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-13      0.00 7.207e-01 2.674e-01 2.110e-03 5.761e-04 5.233e-03 -1.000 1.189e-02 2.776 3.815 2.770 2.758 2.853 2.973
0.011816 -0.10000 8.17609 1.5813760757 2.5451935383    1.581  0.858  3.9020  4.339    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.11e-14      0.00 7.208e-01 2.673e-01 2.109e-03 5.760e-04 5.232e-03 -1.000 1.191e-02 2.625 3.660 2.599 2.630 2.747 2.879
0.011816 -0.10000 8.17609 1.6100521088 2.5472427955    1.609  0.892  3.9093  4.342    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.18e-14      0.00 7.209e-01 2.672e-01 2.109e-03 5.759e-04 5.232e-03 -1.000 1.189e-02 2.539 3.573 2.504 2.559 2.688 2.827
0.011816 -0.10000 8.17609 1.6302804947 2.5486386023    1.630  0.916  3.9144  4.343    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.13e-14      0.00 7.209e-01 2.672e-01 2.109e-03 5.759e-04 5.231e-03 -1.000 1.188e-02 2.480 3.512 2.439 2.511 2.649 2.791
0.011816 -0.10000 8.17609 1.6791849136 2.5518539191    1.678  0.972  3.9260  4.347    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.35e-24      0.00 7.210e-01 2.672e-01 2.108e-03 5.758e-04 5.230e-03 -1.000 1.188e-02 2.341 3.370 2.292 2.402 2.558 2.709
0.011816 -0.10000 8.17609 1.7280894518 2.5548608589    1.727  1.025  3.9369  4.350    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.210e-01 2.671e-01 2.108e-03 5.757e-04 5.230e-03 -1.000 1.190e-02 2.207 3.233 2.158 2.302 2.473 2.631
0.011816 -0.10000 8.17609 1.7769937515 2.5576782463    1.776  1.077  3.9470  4.351    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.211e-01 2.670e-01 2.107e-03 5.756e-04 5.229e-03 -1.000 1.188e-02 2.078 3.100 2.038 2.209 2.393 2.556
0.011816 -0.10000 8.17609 1.7871618271 2.5582418082    1.786  1.087  3.9490  4.351    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.211e-01 2.670e-01 2.107e-03 5.755e-04 5.228e-03 -1.000 1.188e-02 2.052 3.073 2.015 2.190 2.376 2.540
0.011816 -0.10000 8.17609 1.8258984089 2.5603227993    1.825  1.126  3.9564  4.351    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.211e-01 2.670e-01 2.107e-03 5.755e-04 5.228e-03 -1.000 1.188e-02 1.954 2.972 1.930 2.121 2.315 2.483
0.011816 -0.10000 8.17609 1.8503468037 2.5615847520    1.849  1.150  3.9608  4.350    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.211e-01 2.670e-01 2.107e-03 5.755e-04 5.228e-03 -1.000 1.188e-02 1.894 2.910 1.878 2.078 2.278 2.448
0.011816 -0.10000 8.17609 1.8748028278 2.5628093053    1.874  1.174  3.9651  4.349    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.212e-01 2.670e-01 2.107e-03 5.754e-04 5.227e-03 -1.000 1.188e-02 1.835 2.850 1.829 2.037 2.241 2.413
0.011816 -0.10000 8.17609 1.9001555443 2.5640405661    1.899  1.198  3.9694  4.348    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.212e-01 2.669e-01 2.107e-03 5.754e-04 5.227e-03 -1.000 1.188e-02 1.774 2.789 1.779 1.996 2.203 2.377
0.011816 -0.10000 8.17609 1.9238810539 2.5651590628    1.923  1.221  3.9733  4.347    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.212e-01 2.669e-01 2.107e-03 5.754e-04 5.227e-03 -1.000 1.187e-02 1.719 2.733 1.734 1.958 2.168 2.344
0.011816 -0.10000 8.17609 1.9729591608 2.5673748840    1.973  1.266  3.9810  4.343    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.212e-01 2.669e-01 2.107e-03 5.753e-04 5.226e-03 -1.000 1.187e-02 1.606 2.620 1.644 1.880 2.097 2.276
0.011816 -0.10000 8.17609 2.0220372677 2.5694674624    2.022  1.310  3.9885  4.340    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.213e-01 2.668e-01 2.106e-03 5.753e-04 5.226e-03 -1.000 1.189e-02 1.495 2.510 1.558 1.806 2.029 2.210
0.011816 -0.10000 8.17609 2.0711154938 2.5714464054    2.070  1.353  3.9955  4.335    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.213e-01 2.668e-01 2.106e-03 5.752e-04 5.225e-03 -1.000 1.186e-02 1.387 2.403 1.476 1.733 1.961 2.145
0.011816 -0.10000 8.17609 2.1201939583 2.5733203669    2.119  1.395  4.0023  4.330    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.213e-01 2.668e-01 2.106e-03 5.752e-04 5.225e-03 -1.000 1.186e-02 1.282 2.299 1.396 1.662 1.894 2.080
0.011816 -0.10000 8.17609 2.1692719460 2.5750971319    2.168  1.437  4.0088  4.325    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.213e-01 2.668e-01 2.106e-03 5.752e-04 5.225e-03 -1.000 1.189e-02 1.178 2.197 1.318 1.592 1.828 2.016
0.011816 -0.10000 8.17609 2.2159759998 2.5767041808    2.214  1.475  4.0149  4.320    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.213e-01 2.668e-01 2.105e-03 5.751e-04 5.224e-03 -1.000 1.188e-02 1.082 2.102 1.247 1.527 1.766 1.956
0.011816 -0.10000 8.17609 2.2183499336 2.5767837901    2.217  1.477  4.0152  4.319    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.213e-01 2.668e-01 2.105e-03 5.751e-04 5.224e-03 -1.000 1.188e-02 1.077 2.097 1.243 1.523 1.763 1.953
0.011816 -0.10000 8.17609 2.2674279213 2.5783867564    2.266  1.517  4.0213  4.314    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.214e-01 2.667e-01 2.106e-03 5.751e-04 5.224e-03 -1.000 1.189e-02 0.978 1.999 1.170 1.456 1.699 1.891
0.011816 -0.10000 8.17609 2.3655843735 2.5813644383    2.364  1.594  4.0329  4.301    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.214e-01 2.667e-01 2.106e-03 5.751e-04 5.224e-03 -1.000 1.189e-02 0.786 1.811 1.028 1.325 1.573 1.770
0.011816 -0.10000 8.17609 2.5604276657 2.5865049318    2.559  1.739  4.0541  4.276    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.188e-01 2.692e-01 2.123e-03 5.796e-04 5.264e-03 -1.000 1.196e-02 0.422 1.458 0.763 1.075 1.332 1.537
0.011816 -0.10000 8.17609 2.5618968010 2.5865402897    2.560  1.740  4.0543  4.275    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.188e-01 2.693e-01 2.123e-03 5.797e-04 5.265e-03 -1.000 1.196e-02 0.420 1.456 0.761 1.073 1.330 1.535
0.011816 -0.10000 8.17609 2.6690557003 2.5889990817    2.668  1.817  4.0649  4.259    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.184e-01 2.696e-01 2.125e-03 5.802e-04 5.270e-03 -1.000 1.197e-02 0.228 1.271 0.620 0.939 1.200 1.409
